Device,Telco,Rate plan,RRP,Device monthly,Plan monthly,Gross monthly,Total cost of ownership,Months,Select plan Range,summary RM58 plan,,,,summary RM88 plan,,
iPhone 16 Pro 128GB,Telco M,Telco M Postpaid 199,"4,999",106,199,305,"10,980",36,> RM150 plan,Save up to,"RM3,276",with Yes 5G,,,,
iPhone 16 Pro 256GB,Yes 5G,Infinite+ Basic 58,"5,499",136,58,194,"6,984",36,< RM100 plan,,,,,,,
iPhone 16 Pro 256GB,Yes 5G,Infinite+ Standard 88,"5,499",118,88,206,"7,416",36,< RM100 plan,,,,,,,
iPhone 16 Pro 256GB,Telco U,U Postpaid 68,"5,499",138,68,206,"7,416",36,< RM100 plan,Save up to,RM432,with Yes 5G,,,,
iPhone 16 Pro 256GB,Telco U,U Postpaid 98,"5,499",129,98,227,"8,172",36,< RM100 plan,Save up to,"RM1,188",with Yes 5G,,,,
iPhone 16 Pro 256GB,Telco CD,Postpaid 5G 100,"5,499",138,90,228,"8,208",36,< RM100 plan,Save up to,"RM1,224",with Yes 5G,,,,
iPhone 16 Pro 256GB,Yes 5G,Infinite+ Premium 118,"5,499",99,118,217,"7,812",36,RM101 - RM149 plan,,,,,,,
iPhone 16 Pro 256GB,Telco CD,Postpaid 5G 120,"5,499",126,110,236,"8,496",36,RM101 - RM149 plan,Save up to,RM684,with Yes 5G,,,,
iPhone 16 Pro 256GB,Telco M,Telco M Postpaid 109,"5,499",138,109,247,"8,892",36,RM101 - RM149 plan,Save up to,"RM1,080",with Yes 5G,,,,
iPhone 16 Pro 256GB,Telco CD,Postpaid 5G 140,"5,499",124,130,254,"9,144",36,RM101 - RM149 plan,Save up to,"RM1,332",with Yes 5G,,,,
iPhone 16 Pro 256GB,Telco M,Telco M Postpaid 139,"5,499",124,139,263,"9,468",36,RM101 - RM149 plan,Save up to,"RM1,656",with Yes 5G,,,,
iPhone 16 Pro 256GB,Yes 5G,Infinite+ Ultra 178,"5,499",55,178,233,"8,388",36,> RM150 plan,,,,,,,
iPhone 16 Pro 256GB,Telco CD,Postpaid 5G 160,"5,499",122,150,272,"9,792",36,> RM150 plan,Save up to,"RM1,404",with Yes 5G,,,,
iPhone 16 Pro 256GB,Telco M,Telco M Postpaid 169,"5,499",121,169,290,"10,440",36,> RM150 plan,Save up to,"RM2,052",with Yes 5G,,,,
iPhone 16 Pro 256GB,Telco M,Telco M Postpaid 199,"5,499",118,199,317,"11,412",36,> RM150 plan,Save up to,"RM3,024",with Yes 5G,,,,
iPhone 16 Pro 512GB,Yes 5G,Infinite+ Basic 58,"6,499",161,58,219,"7,884",36,< RM100 plan,,,,,,,
iPhone 16 Pro 512GB,Yes 5G,Infinite+ Standard 88,"6,499",143,88,231,"8,316",36,< RM100 plan,,,,,,,
iPhone 16 Pro 512GB,Telco U,U Postpaid 68,"6,499",164,68,232,"8,352",36,< RM100 plan,Save up to,RM468,with Yes 5G,,,,
iPhone 16 Pro 512GB,Telco U,U Postpaid 98,"6,499",154,98,252,"9,072",36,< RM100 plan,Save up to,"RM1,188",with Yes 5G,,,,
